country;region;lifeExp;gdpPercap;pop
Wichita;Wichita;-0.708757;-0.7376;3460
East Baton Rouge Parish;East Baton Rouge Parish;-1.612757;-1.1696;3415
Jefferson Parish;Jefferson Parish;-1.225757;-0.7894;3412
St. Paul Public School District;St. Paul Public School District;-0.912757;-0.8625;3412
Seattle Public Schools;Seattle Public Schools;0.396243;0.6729;3411
Gilbert Unified District;Gilbert Unified District;0.417243;0.9556;3384
San Juan Unified;San Juan Unified;-0.708757;0.0408;3374
Chandler Unified District;Chandler Unified District;0.270243;0.9354;3359
Manatee;Manatee;-0.130757;-0.095;3324
Chula Vista Elementary;Chula Vista Elementary;-0.332757;0.2851;3309
Portland 1J;Portland 1J;0.185243;0.0662;3299
Union County Public Schools;Union County Public Schools;0.979243;0.6173;3265
Frisco;Frisco;1.454243;1.5295;3251
Collier;Collier;-0.025757;0.0274;3250
Charleston 01;Charleston 01;-0.340757;-0.3932;3234
Hamilton County School Distrct;Hamilton County School Distrct;-0.697757;-0.5334;3228
Deer Valley Unified District;Deer Valley Unified District;0.237243;0.9567;3227
Caddo Parish;Caddo Parish;-1.212757;-1.2406;3225
Ysleta;Ysleta;-0.301757;-1.4753;3220
Socorro;Socorro;-0.338757;-0.428;3179
Henry County;Henry County;-0.220757;0.32;3178
Adams 12 Five Star Schools;Adams 12 Five Star Schools;0.274243;0.5486;3170
United;United;-1.010757;-0.5493;3152
Riverside Unified;Riverside Unified;-0.962757;0.1042;3136
Oklahoma City;Oklahoma City;-1.443757;-1.3332;3128
Cherokee County;Cherokee County;0.601243;0.8102;3102
Stockton Unified;Stockton Unified;-2.525757;-1.4691;3098
Sarasota;Sarasota;0.937243;-0.0316;3095
Minneapolis Public School Dist.;Minneapolis Public School Dist.;-1.179757;-1.0214;3089
Marion;Marion;0.289243;-0.6498;3081
Lake;Lake;0.330243;-0.0123;3062
Bakersfield City;Bakersfield City;-2.093757;-1.7596;3059
Forsyth County;Forsyth County;1.545243;1.2536;3047
Peoria Unified School District;Peoria Unified School District;-0.319757;0.5006;3027
Orleans Parish;Orleans Parish;-1.897757;-1.9255;3018
Fontana Unified;Fontana Unified;-1.494757;-0.3608;3014
SD U-46;SD U-46;-0.518757;0.4864;3005
Corpus Christi;Corpus Christi;-0.508757;-0.7482;3005
Indianapolis Public Schools;Indianapolis Public Schools;-1.035757;-2.4981;2982
Tulsa;Tulsa;-1.134757;-1.3035;2964
Frederick County Public Schools;Frederick County Public Schools;0.681243;1.1857;2961
Salem-Keizer 24J;Salem-Keizer 24J;-0.900757;-0.5715;2961
Horry;Horry;0.096243;-0.5806;2955
Mesquite;Mesquite;-0.372757;-0.0681;2954
Clovis Unified;Clovis Unified;0.768243;0.7428;2952
Rutherford County School Dist.;Rutherford County School Dist.;0.166243;0.2689;2951
Escambia;Escambia;0.152243;-0.6986;2949
Killeen;Killeen;-0.561757;-0.3713;2942
Clear Creek;Clear Creek;0.644243;1.0753;2938
Anoka-Hennepin Public School Dist.;Anoka-Hennepin Public School Dist.;0.825243;0.8391;2927
St. Lucie;St. Lucie;-0.172757;-0.5501;2917
Beaverton 48J;Beaverton 48J;0.779243;0.6304;2906
Meridian Joint District;Meridian Joint District;0.082243;0.9358;2890
Aurora, Joint District No. 28 Of The Counties Of Adams And A;Aurora, Joint District No. 28 Of The Counties Of Adams And A;-1.013757;-0.6907;2876
Chesapeake City;Chesapeake City;0.497243;0.7432;2874
Harford County Public Schools;Harford County Public Schools;0.439243;0.936;2854
Fayette County;Fayette County;0.866243;0.0323;2850
Buffalo City School District;Buffalo City School District;-1.703757;-2.4637;2834
St. Tammany Parish;St. Tammany Parish;0.118243;0.3195;2799
Richardson;Richardson;0.403243;-0.0942;2789
Jefferson County;Jefferson County;-0.625757;0.1545;2773
Humble;Humble;0.047243;1.1021;2763
Durham Public Schools;Durham Public Schools;-0.715757;-0.1944;2750
Spring;Spring;-0.772757;-0.419;2741
Moreno Valley Unified;Moreno Valley Unified;-1.713757;-0.3381;2728
Anaheim City;Anaheim City;-1.721757;-0.6114;2721
Lincoln Public Schools;Lincoln Public Schools;0.875243;0.3353;2719
Paradise Valley Unified District;Paradise Valley Unified District;0.132243;0.74;2703
Chatham County;Chatham County;-0.860757;-0.5699;2676
Washington Elementary School District;Washington Elementary School District;-1.466757;-0.6934;2668
Cincinnati City;Cincinnati City;-1.271757;-1.9573;2668
Johnston County Schools;Johnston County Schools;0.484243;-0.076;2664
Clay;Clay;0.884243;0.3671;2639
Irving;Irving;-1.109757;-0.839;2636
Temecula Valley Unified;Temecula Valley Unified;0.263243;0.8225;2607
Keller;Keller;0.671243;1.2886;2583
Poway Unified;Poway Unified;1.241243;1.5;2576
Gaston County Schools;Gaston County Schools;0.027243;-0.7007;2574
Edinburg CISD;Edinburg CISD;-0.208757;-1.4465;2571
Leander;Leander;0.529243;1.0956;2553
Mt. Diablo Unified;Mt. Diablo Unified;-0.399757;0.7084;2547
Nebo District;Nebo District;0.142243;0.9886;2540
St. Louis City;St. Louis City;-2.139757;-2.5325;2523
San Jose Unified;San Jose Unified;-0.440757;0.4299;2504
Desoto Co. School District;Desoto Co. School District;0.007243;0.1437;2502
Weber District;Weber District;-0.519757;0.8436;2492
Pharr-San Juan-Alamo;Pharr-San Juan-Alamo;-0.562757;-1.8006;2482
Montgomery County;Montgomery County;-0.867757;-0.9939;2479
Ontario-Montclair Elementary;Ontario-Montclair Elementary;-1.608757;-0.5573;2477
Fremont Unified;Fremont Unified;1.314243;1.3731;2476
Canyons District;Canyons District;0.328243;1.0076;2471
Mansfield;Mansfield;0.274243;0.6937;2466
Calcasieu Parish;Calcasieu Parish;-0.466757;-0.5774;2454
Spring Branch;Spring Branch;-0.436757;0.208;2447
Rochester City School District;Rochester City School District;-1.636757;-2.3459;2436
Leon;Leon;0.613243;0.06;2422
Williamson County School Dist.;Williamson County School Dist.;1.326243;1.6511;2414
Coweta County;Coweta County;-0.244757;0.4291;2397
Richmond County;Richmond County;-1.434757;-1.479;2377
St. Johns;St. Johns;1.324243;0.7708;2373
Muscogee County;Muscogee County;-1.052757;-1.0035;2362
Amarillo;Amarillo;-0.209757;-0.4017;2361
Cabarrus County Schools;Cabarrus County Schools;0.334243;0.2663;2358
Chino Valley Unified;Chino Valley Unified;0.031243;0.9479;2344
Twin Rivers Unified;Twin Rivers Unified;-1.546757;-1.2648;2341
Fort Wayne Community Schools;Fort Wayne Community Schools;-0.305757;-0.879;2333
West Contra Costa Unified;West Contra Costa Unified;-1.652757;-0.0441;2331
Lodi Unified;Lodi Unified;-1.587757;-0.151;2325
Norfolk City;Norfolk City;-0.451757;-1.0621;2323
Dysart Unified District;Dysart Unified District;-0.396757;0.3786;2320
Montebello Unified;Montebello Unified;-1.887757;-0.5385;2316
San Ramon Valley Unified;San Ramon Valley Unified;1.674243;1.9453;2299
Lafayette Parish;Lafayette Parish;-0.657757;-0.2896;2297
Saddleback Valley Unified;Saddleback Valley Unified;0.297243;1.2685;2291
Palmdale Elementary;Palmdale Elementary;-1.999757;-0.817;2290
Montgomery County Schools;Montgomery County Schools;-0.169757;-0.1943;2285
Kyrene Elementary District;Kyrene Elementary District;0.742243;0.932;2276
Des Moines Independent Comm School District;Des Moines Independent Comm School District;-1.036757;-0.5306;2268
Berkeley 01;Berkeley 01;-0.252757;-0.3517;2268
Jersey City;Jersey City;-0.841757;-0.885;2265
Paulding County;Paulding County;-0.057757;0.3115;2253
Cartwright Elementary District;Cartwright Elementary District;-1.695757;-1.2485;2245
Indian Prairie;Indian Prairie;1.554243;1.7017;2241
Ector County;Ector County;-0.939757;-0.4509;2238
Utica Community Schools;Utica Community Schools;0.065243;0.6565;2234
Jackson Public School Dist.;Jackson Public School Dist.;-1.176757;-1.8476;2232
Plainfield;Plainfield;0.135243;1.1388;2229
Orange Unified;Orange Unified;-0.562757;0.6665;2227
La Joya;La Joya;-0.959757;-2.0008;2211
Baldwin County;Baldwin County;0.294243;0.1515;2207
Desert Sands Unified;Desert Sands Unified;-0.705757;-0.056;2206
Boulder Valley School District No. Re2;Boulder Valley School District No. Re2;1.541243;1.3738;2205
Toledo City;Toledo City;-1.184757;-2.1586;2195
Colorado Springs, School District No. 11, In The County Of E;Colorado Springs, School District No. 11, In The County Of E;0.509243;-0.1867;2194
Irvine Unified;Irvine Unified;1.636243;1.5764;2180
Lubbock;Lubbock;-0.729757;-0.4798;2175
Pomona Unified;Pomona Unified;-1.752757;-0.265;2170
St. Vrain Valley School District No. Re1J;St. Vrain Valley School District No. Re1J;0.684243;0.8617;2168
Grand Prairie;Grand Prairie;-0.577757;-0.4292;2166
Escondido Union;Escondido Union;-1.704757;0.1592;2161
Sumner County School District;Sumner County School District;-0.123757;0.1667;2157
Spokane School District;Spokane School District;0.132243;-0.5755;2156
Visalia Unified;Visalia Unified;-1.663757;-0.3735;2125
Paterson;Paterson;-1.479757;-1.5725;2122
Okaloosa;Okaloosa;0.976243;0.2425;2115
Tacoma School District;Tacoma School District;-0.589757;-0.4925;2115
Newport News City;Newport News City;-0.368757;-0.3855;2100
Poudre School District R-1;Poudre School District R-1;1.342243;0.8353;2095
Scottsdale Unified District;Scottsdale Unified District;0.876243;1.1562;2089
Compton Unified;Compton Unified;-1.604757;-1.056;2085
Washington District;Washington District;-0.243757;0.4269;2076
Olathe;Olathe;1.150243;1.2847;2071
Kanawha County Schools;Kanawha County Schools;-0.289757;-0.2053;2061
Hall County;Hall County;-0.660757;0.1818;2060
Rosemount-Apple Valley-Eagan;Rosemount-Apple Valley-Eagan;1.291243;1.2426;2057
Shelby County;Shelby County;-0.206757;0.7149;2052
Buncombe County Schools;Buncombe County Schools;0.607243;0.1449;2050
Rialto Unified;Rialto Unified;-1.568757;-0.5583;2048
Kent School District;Kent School District;-0.251757;0.3626;2048
Carrollton-Farmers Branch;Carrollton-Farmers Branch;0.174243;0.3768;2044
Houston County;Houston County;0.321243;-0.0069;2042
Little Rock School District;Little Rock School District;-1.250757;-1.0644;2039
Cupertino Union;Cupertino Union;2.685243;2.0073;2037
Rockford;Rockford;-1.316757;-1.3651;2031
Springfield;Springfield;-0.251757;-2.3221;2017
Shawnee Mission Pub Sch;Shawnee Mission Pub Sch;0.733243;0.9035;2011
Carroll County Public Schools;Carroll County Public Schools;0.907243;1.2415;2010
Stafford Co. Public Schools;Stafford Co. Public Schools;0.381243;1.317;1994
Pittsburgh;Pittsburgh;-0.634757;-1.0893;1992
Boise Independent District;Boise Independent District;0.279243;0.3016;1991
Evergreen School District (Clark);Evergreen School District (Clark);-0.243757;0.0892;1982
Alachua;Alachua;0.293243;-0.162;1980
Richland 02;Richland 02;-0.153757;0.3494;1972
Douglas County;Douglas County;-0.339757;-0.1577;1968
Salt Lake District;Salt Lake District;-0.705757;0.0937;1966
Mcallen;Mcallen;-0.123757;-0.9733;1943
Lamar CISD;Lamar CISD;0.296243;0.5733;1932
Livingston Parish;Livingston Parish;-0.017757;0.1944;1928
Kansas City;Kansas City;-1.673757;-2.2311;1923
Charles County Public Schools;Charles County Public Schools;-0.063757;0.7578;1922
New Hanover County Schools;New Hanover County Schools;0.528243;-0.0162;1921
Birmingham City;Birmingham City;-1.637757;-2.1001;1916
Santa Rosa;Santa Rosa;1.299243;0.122;1915
Denton;Denton;0.154243;0.5064;1903
Glendale Unified;Glendale Unified;0.148243;0.3023;1899
Placentia-Yorba Linda Unified;Placentia-Yorba Linda Unified;0.293243;1.1185;1899
Mckinney;Mckinney;0.606243;1.0985;1899
Bay;Bay;0.465243;-0.0377;1895
Lake Washington School District;Lake Washington School District;1.592243;1.5734;1884
Columbia County;Columbia County;0.524243;0.804;1876
Cajon Valley Union Elementary;Cajon Valley Union Elementary;-1.033757;-0.4317;1871
Vista Unified;Vista Unified;-0.927757;0.3089;1870
Panama-Buena Vista Union;Panama-Buena Vista Union;-1.034757;0.0865;1864
Bibb County;Bibb County;-1.306757;-1.3743;1859
Onslow County Schools;Onslow County Schools;0.111243;-0.2641;1859
Yonkers City School District;Yonkers City School District;-0.626757;-0.5054;1852
Colton Joint Unified;Colton Joint Unified;-1.680757;-0.2806;1848
Aiken;Aiken;-0.575757;-0.4272;1848
Worcester;Worcester;-0.215757;-0.9564;1847
Alamance-Burlington Schools;Alamance-Burlington Schools;-0.024757;-0.5054;1840
Iredell-Statesville Schools;Iredell-Statesville Schools;0.485243;0.226;1829
Las Cruces Public Schools;Las Cruces Public Schools;-1.040757;-0.5126;1822
Springfield R-XII;Springfield R-XII;0.146243;-0.2627;1818
Pflugerville;Pflugerville;-0.160757;0.2927;1815
Robeson County Schools;Robeson County Schools;-0.909757;-1.7366;1812
Palm Springs Unified;Palm Springs Unified;-1.241757;-0.2725;1809
Rapides Parish;Rapides Parish;-0.637757;-0.7104;1808
Dorchester 02;Dorchester 02;0.413243;0.2051;1799
Manteca Unified;Manteca Unified;-1.476757;0.1054;1791
Laredo;Laredo;-1.421757;-2.3667;1791
Madison Metropolitan School District;Madison Metropolitan School District;-0.233757;0.224;1791
Lexington 01;Lexington 01;0.278243;0.4746;1785
Tustin Unified;Tustin Unified;0.183243;0.9387;1783
Providence;Providence;-1.608757;-1.9895;1777
Pitt County Schools;Pitt County Schools;-0.470757;-0.6531;1771
Spotsylvania Co. Public Schools;Spotsylvania Co. Public Schools;0.286243;0.7931;1768
Akron City;Akron City;-1.098757;-1.7679;1766
Richland 01;Richland 01;-1.198757;-1.0994;1755
Millard Public Schools;Millard Public Schools;1.500243;1.3974;1748
Academy, School District No. 20, In The County Of El Paso An;Academy, School District No. 20, In The County Of El Paso An;1.552243;1.5533;1736
Birdville;Birdville;-0.307757;0.1524;1736
Dearborn City School District;Dearborn City School District;-1.199757;-0.7452;1735
Midland;Midland;-1.021757;0.0266;1734
Oxnard Elementary;Oxnard Elementary;-2.011757;-0.2352;1728
Huntsville City;Huntsville City;-0.597757;-0.3426;1727
Torrance Unified;Torrance Unified;0.326243;1.1238;1721
Hesperia Unified;Hesperia Unified;-1.242757;-0.6294;1711
Hayward Unified;Hayward Unified;-2.358757;-0.2156;1705
