country;region;lifeExp;gdpPercap;pop
Tuscaloosa County;Tuscaloosa County;-0.718757;0.3512;1367
Ventura Unified;Ventura Unified;-0.766757;0.4267;1365
Palatine CCSD;Palatine CCSD;0.755243;0.821;1362
Bethel School District;Bethel School District;-0.316757;0.319;1362
Alvin;Alvin;0.250243;0.3885;1361
Waterbury School District;Waterbury School District;-0.828757;-1.7689;1358
Napa Valley Unified;Napa Valley Unified;-1.016757;0.5708;1352
Valley View 365U;Valley View 365U;-0.668757;0.4764;1352
Nash-Rocky Mount Schools;Nash-Rocky Mount Schools;-0.291757;-0.77;1349
Hanover Co. Public Schools;Hanover Co. Public Schools;1.524243;1.3269;1348
Putnam City;Putnam City;-0.362757;-0.0495;1346
South Washington County School Dist.;South Washington County School Dist.;0.964243;1.3021;1344
Northwest;Northwest;0.328243;1.0904;1341
Issaquah School District;Issaquah School District;1.710243;1.608;1340
Olentangy Local;Olentangy Local;1.290243;1.9772;1338
Lakota Local - Liberty Township;Lakota Local - Liberty Township;1.360243;1.3466;1335
Lee's Summit R-VII;Lee's Summit R-VII;0.824243;1.0824;1330
Eagle Mt-Saginaw;Eagle Mt-Saginaw;-0.157757;0.5378;1327
Naperville;Naperville;1.550243;1.6834;1322
Reading;Reading;-1.007757;-2.6258;1322
Indian River;Indian River;0.345243;-0.3633;1321
Catawba County Schools;Catawba County Schools;0.190243;0.1079;1316
Berkeley County Schools;Berkeley County Schools;-0.548757;0.1847;1316
Oswego;Oswego;0.949243;1.2107;1315
Donna;Donna;-1.503757;-2.6002;1314
Cache District;Cache District;1.111243;0.9666;1313
Ann Arbor Public Schools;Ann Arbor Public Schools;1.414243;1.1979;1311
Brighton School District No. 27J;Brighton School District No. 27J;0.434243;0.8473;1310
Martin;Martin;0.777243;0.2041;1310
Bellevue School District;Bellevue School District;1.267243;1.4439;1305
Rio Rancho Public Schools;Rio Rancho Public Schools;0.031243;0.646;1295
Litchfield Elementary District;Litchfield Elementary District;-0.343757;0.6181;1294
Nampa School District;Nampa School District;-0.424757;-0.2633;1293
Parkway C-2;Parkway C-2;0.932243;1.5931;1286
Lexington 05;Lexington 05;0.616243;0.8256;1284
Highline School District;Highline School District;-1.053757;-0.4785;1283
Francis Howell R-III;Francis Howell R-III;0.966243;1.164;1282
Toms River Regional;Toms River Regional;0.965243;0.753;1282
Pueblo, School District No. 60, In The County Of Pueblo And;Pueblo, School District No. 60, In The County Of Pueblo And;0.438243;-1.002;1276
Matanuska-Susitna Borough School District;Matanuska-Susitna Borough School District;-0.103757;0.3141;1275
Eugene 4J;Eugene 4J;0.225243;0.1581;1268
Amphitheater Unified District;Amphitheater Unified District;-0.100757;0.0995;1266
Broken Arrow;Broken Arrow;0.229243;0.8732;1265
Carmel Clay Schools;Carmel Clay Schools;2.168243;1.843;1256
Chippewa Valley Schools;Chippewa Valley Schools;-0.266757;0.6227;1256
North Clackamas;North Clackamas;-0.123757;0.1085;1255
Pickens;Pickens;0.056243;-0.0012;1253
Brentwood Union Free School District;Brentwood Union Free School District;-0.746757;0.2959;1250
Oak Grove Elementary;Oak Grove Elementary;-0.732757;0.544;1249
Columbia 93;Columbia 93;-0.090757;0.3969;1248
St. Mary's County Public Schools;St. Mary's County Public Schools;0.775243;0.7058;1246
Inglewood Unified;Inglewood Unified;-1.126757;-0.6528;1240
Calvert County Public Schools;Calvert County Public Schools;1.352243;1.1184;1235
Waukegan;Waukegan;-1.423757;-0.6023;1234
Brockton;Brockton;-0.546757;-0.7998;1229
Hays CISD;Hays CISD;-0.559757;0.6379;1229
Abilene;Abilene;-0.422757;-0.5015;1224
Cleveland County Schools;Cleveland County Schools;0.754243;-0.9885;1215
Bethlehem Area;Bethlehem Area;0.114243;-0.109;1215
Waco;Waco;-1.117757;-1.713;1214
Rowland Unified;Rowland Unified;-0.884757;0.4303;1207
Dougherty County;Dougherty County;-1.102757;-2.0366;1207
Rochester Public School District;Rochester Public School District;0.919243;0.9757;1207
Rockdale County;Rockdale County;0.015243;-0.383;1206
Bryan;Bryan;-0.658757;-0.8031;1200
Paramount Unified;Paramount Unified;-1.574757;-0.7305;1198
Warren Consolidated Schools;Warren Consolidated Schools;-0.679757;0.0904;1197
Lynwood Unified;Lynwood Unified;-1.890757;-0.6461;1195
Baldwin Park Unified;Baldwin Park Unified;-1.459757;-0.4136;1191
Mission CISD;Mission CISD;-0.685757;-1.6571;1191
Bend-Lapine Administrative;Bend-Lapine Administrative;0.528243;0.2292;1190
Camden City;Camden City;-2.401757;-3.0477;1186
Florence 01;Florence 01;-0.506757;-0.6939;1181
Vallejo City Unified;Vallejo City Unified;-1.524757;-0.278;1180
Kennewick School District;Kennewick School District;-0.025757;-0.0633;1180
Tracy Joint Unified;Tracy Joint Unified;-1.248757;0.2327;1178
Cedar Rapids Comm School District;Cedar Rapids Comm School District;-0.082757;0.1118;1172
Yuma Elementary District;Yuma Elementary District;-1.261757;-0.9032;1171
Merced City Elementary;Merced City Elementary;-1.536757;-1.2381;1171
Crowley;Crowley;-0.818757;0.4616;1170
M S D Lawrence Township;M S D Lawrence Township;-0.596757;0.4871;1167
Charlotte;Charlotte;0.683243;-0.2678;1163
Cecil County Public Schools;Cecil County Public Schools;-0.100757;0.374;1162
Falcon, School District No. 49, In The County Of El Paso And;Falcon, School District No. 49, In The County Of El Paso And;0.983243;1.0248;1158
Livonia Public Schools;Livonia Public Schools;0.623243;0.6819;1158
Pasco School District;Pasco School District;-1.539757;-0.7029;1158
Westerville City;Westerville City;0.938243;1.0352;1157
Alhambra Unified;Alhambra Unified;-0.040757;0.1149;1156
Walled Lake Consolidated Schools;Walled Lake Consolidated Schools;1.146243;1.0007;1156
Central Unified;Central Unified;-0.994757;-0.0356;1154
Vigo County;Vigo County;0.285243;-0.3251;1154
Hilliard City;Hilliard City;0.767243;1.0837;1154
M S D Wayne Township;M S D Wayne Township;-0.505757;-0.7434;1153
San Mateo-Foster City Elementary;San Mateo-Foster City Elementary;-0.005757;1.3385;1152
Pendergast Elementary District;Pendergast Elementary District;-1.552757;-0.2665;1151
Santa Clara Unified;Santa Clara Unified;-0.141757;0.7344;1151
St. Landry Parish;St. Landry Parish;-1.162757;-1.5663;1149
Rogers School District;Rogers School District;0.428243;0.2412;1148
Thompson School District R-2J;Thompson School District R-2J;0.931243;0.591;1147
Joliet PSD;Joliet PSD;-1.226757;-1.5213;1144
Davenport Comm School District;Davenport Comm School District;-0.407757;-0.5344;1136
Bentonville School District;Bentonville School District;0.778243;0.8136;1135
Stamford School District;Stamford School District;0.015243;0.4367;1135
Billings Elem.;Billings Elem.;-0.041757;0.2007;1135
Wilson County School District;Wilson County School District;-0.274757;0.8386;1134
Rochester Community School District;Rochester Community School District;1.988243;1.3891;1130
Lowell;Lowell;-0.379757;-0.899;1127
Sachem Central School District;Sachem Central School District;0.706243;1.0783;1125
Pleasanton Unified;Pleasanton Unified;1.359243;1.69;1124
San Angelo;San Angelo;-0.158757;-0.4782;1122
Citrus;Citrus;0.751243;-0.4895;1119
Burbank Unified;Burbank Unified;-0.126757;0.7048;1116
Franklin-Mckinley Elementary;Franklin-Mckinley Elementary;-1.342757;-0.39;1116
Tooele District;Tooele District;-0.364757;0.683;1113
Santa Fe Public Schools;Santa Fe Public Schools;-1.231757;-0.0982;1112
Edison Township;Edison Township;1.987243;1.3019;1107
Carroll County;Carroll County;-0.222757;-0.1903;1103
Eagle Pass;Eagle Pass;-0.516757;-1.429;1102
Craven County Schools;Craven County Schools;0.421243;-0.6902;1098
Bartow County;Bartow County;0.099243;0.0959;1097
Union;Union;-0.306757;0.4559;1097
Portsmouth City;Portsmouth City;-0.096757;-0.8615;1096
Mukilteo School District;Mukilteo School District;0.217243;-0.0422;1095
Kenton County;Kenton County;0.359243;0.791;1094
Duncanville;Duncanville;-0.650757;-0.26;1094
Rockwall;Rockwall;0.669243;1.0259;1094
Provo District;Provo District;0.612243;0.5302;1094
Lawton;Lawton;-0.233757;-0.7949;1092
Sevier County School District;Sevier County School District;-0.624757;-0.1796;1090
Apple Valley Unified;Apple Valley Unified;-0.917757;-0.4023;1087
Appleton Area School District;Appleton Area School District;0.135243;0.6033;1087
Littleton, School District No. 6, In The County Of Arapahoe;Littleton, School District No. 6, In The County Of Arapahoe;1.593243;1.0552;1086
Roseville City Elementary;Roseville City Elementary;0.449243;0.6259;1083
Springfield 186;Springfield 186;-1.048757;-1.2057;1083
Aurora East USD;Aurora East USD;-2.327757;-0.9957;1082
Alisal Union;Alisal Union;-2.432757;-1.1769;1079
M S D Perry Township;M S D Perry Township;0.562243;-0.145;1075
Harlandale;Harlandale;-0.950757;-1.4629;1075
Dublin City;Dublin City;1.474243;1.4891;1073
Renton School District;Renton School District;-0.329757;0.0571;1071
Blue Springs R-IV;Blue Springs R-IV;1.274243;0.9086;1069
Norman;Norman;0.337243;0.5427;1068
Yakima School District;Yakima School District;-1.704757;-1.4406;1066
North Thurston Public Schools;North Thurston Public Schools;0.244243;0.272;1065
Fort Smith School District;Fort Smith School District;-0.721757;-0.941;1063
Iberia Parish;Iberia Parish;-0.669757;-1.0186;1063
Harrison Co. School District;Harrison Co. School District;-0.048757;-0.5136;1063
Lawrence;Lawrence;-0.429757;-1.6665;1062
Rockingham County Schools;Rockingham County Schools;-0.244757;-0.8742;1062
Suffolk City;Suffolk City;0.019243;0.1401;1062
Manchester School District;Manchester School District;-0.359757;-0.2744;1061
Fairbanks North Star Borough School District;Fairbanks North Star Borough School District;-0.162757;0.7147;1060
Menifee Union Elementary;Menifee Union Elementary;-0.393757;0.3728;1059
St Charles;St Charles;1.301243;1.6311;1057
El Monte City Elementary;El Monte City Elementary;-1.787757;-0.3241;1056
Victoria;Victoria;-0.597757;-0.6495;1055
Gary Community;Gary Community;-0.738757;-2.9861;1054
Ogden District;Ogden District;-1.382757;-0.7124;1054
School City of Hammond;School City of Hammond;-0.914757;-1.158;1050
Independence;Independence;-0.270757;-0.5375;1050
Roanoke Co. Public Schools;Roanoke Co. Public Schools;0.864243;1.0007;1050
Westminster Elementary;Westminster Elementary;-0.688757;-0.1213;1048
Gadsden Independent Schools;Gadsden Independent Schools;-1.135757;-1.7373;1048
Midwest City-Del City;Midwest City-Del City;-0.104757;-0.5742;1048
Wichita Falls;Wichita Falls;-0.479757;-0.262;1048
Henderson County Schools;Henderson County Schools;0.666243;0.1071;1047
Lafourche Parish;Lafourche Parish;-1.059757;-0.2433;1046
Wicomico County Public Schools;Wicomico County Public Schools;0.056243;-0.3252;1045
Lansing Public School District;Lansing Public School District;-1.107757;-1.4033;1042
Wilson County Schools;Wilson County Schools;-0.040757;-1;1040
Auburn School District;Auburn School District;0.552243;-0.2548;1040
Wayne-Westland Community School District;Wayne-Westland Community School District;-1.191757;-0.8221;1038
Lynn;Lynn;-0.032757;-1.0772;1036
Elk River Public School District;Elk River Public School District;0.385243;1.1045;1036
Walnut Valley Unified;Walnut Valley Unified;1.331243;1.4528;1035
Bellflower Unified;Bellflower Unified;-0.950757;0.1713;1033
West Chester Area;West Chester Area;1.725243;1.6372;1033
Phoenix Elementary District;Phoenix Elementary District;-2.189757;-2.2182;1032
Hardin County;Hardin County;-0.244757;-0.0989;1032
Southfield Public School District;Southfield Public School District;-1.249757;-0.3114;1031
Walton County;Walton County;0.163243;0.1563;1028
Marana Unified District;Marana Unified District;-0.079757;0.5722;1026
Warren County;Warren County;-0.113757;0.1232;1026
Laramie County School District #1;Laramie County School District #1;0.293243;0.38;1026
Hoover City;Hoover City;0.108243;1.2898;1024
Livermore Valley Joint Unified;Livermore Valley Joint Unified;0.193243;1.0772;1024
Newhall Elementary;Newhall Elementary;0.763243;0.838;1024
Whitfield County;Whitfield County;-0.637757;-0.2073;1024
Trenton;Trenton;-2.008757;-1.9208;1023
Wentzville R-IV;Wentzville R-IV;0.610243;1.0645;1022
Grapevine-Colleyville;Grapevine-Colleyville;1.082243;1.2459;1022
Ocean View;Ocean View;-0.038757;0.6227;1020
Yuba City Unified;Yuba City Unified;-0.720757;-0.2887;1019
Brunswick County Schools;Brunswick County Schools;0.369243;-0.3433;1018
Burke County Schools;Burke County Schools;0.519243;-0.4349;1017
Rapid City Area School District 51-4;Rapid City Area School District 51-4;-0.497757;0.1187;1015
Lincoln County Schools;Lincoln County Schools;0.655243;-0.2914;1012
New Bedford;New Bedford;0.052243;-1.7409;1011
Kalamazoo Public School District;Kalamazoo Public School District;-1.433757;-1.6975;1011
Tulare City Elementary;Tulare City Elementary;-1.282757;-0.538;1010
Moore County Schools;Moore County Schools;0.310243;0.0915;1010
Woodbridge Township;Woodbridge Township;1.707243;0.9534;1009
Wylie;Wylie;0.289243;0.9471;1004
East Whittier City Elementary;East Whittier City Elementary;-0.306757;0.6106;1003
Battle Ground School District;Battle Ground School District;-0.292757;0.6774;998
Peoria;Peoria;-1.035757;-1.3328;997
Mclean County USD;Mclean County USD;0.901243;0.8857;996
Turlock Unified;Turlock Unified;-1.501757;-0.0545;986
Westside Union Elementary;Westside Union Elementary;-0.767757;0.6828;986
Topeka Public Schools;Topeka Public Schools;-0.903757;-1.2853;986
Sylvan Union Elementary;Sylvan Union Elementary;-0.474757;-0.1808;985
Cusd 200;Cusd 200;1.440243;1.0476;985
Sioux City Comm School District;Sioux City Comm School District;-0.665757;-0.2985;984
Schertz-Cibolo-U City;Schertz-Cibolo-U City;0.088243;1.0064;984
Frederick Co. Public Schools;Frederick Co. Public Schools;0.239243;0.8028;984
South Bay Union Elementary;South Bay Union Elementary;-1.858757;-0.7191;982
Chico Unified;Chico Unified;-1.303757;-0.1564;981
Barrow County;Barrow County;-0.401757;-0.141;981
Bullitt Co.;Bullitt Co.;-0.068757;0.0288;980
Pocatello District;Pocatello District;0.121243;0.1779;977
Central Valley School District;Central Valley School District;0.341243;0.4177;977
Wood County Schools;Wood County Schools;-0.523757;-0.3268;975
Flagler;Flagler;0.432243;9.00E-04;969
North Penn;North Penn;1.380243;1.3528;969
Ceres Unified;Ceres Unified;-1.022757;-0.7294;964
Caldwell County Schools;Caldwell County Schools;0.279243;-0.5619;963
Redwood City Elementary;Redwood City Elementary;-1.194757;0.3846;962
Roanoke City;Roanoke City;-0.161757;-1.4196;962
Hamilton Township;Hamilton Township;0.064243;0.8685;959
Southwest;Southwest;-0.913757;-1.2691;958
Elkhart Community Schools;Elkhart Community Schools;-1.122757;-1.1426;955
Aurora West USD;Aurora West USD;-0.722757;-0.1376;954
Robbinsdale Public School District;Robbinsdale Public School District;-0.171757;0.4837;954
Tigard-Tualatin 23J;Tigard-Tualatin 23J;0.579243;0.6002;954
Brentwood Union Elementary;Brentwood Union Elementary;-0.492757;1.0511;953
Glynn County;Glynn County;-0.101757;-0.1845;953
Erie City;Erie City;-0.809757;-1.7431;952
Jackson-Madison Consolidated;Jackson-Madison Consolidated;-0.831757;-1.1583;951
Passaic City;Passaic City;-1.347757;-1.5236;950
Deer Park;Deer Park;0.156243;0.5026;950
Downingtown Area;Downingtown Area;1.608243;1.8522;947
Anderson 05;Anderson 05;-0.127757;-0.8069;947
Albemarle Co. Public Schools;Albemarle Co. Public Schools;0.891243;1.1944;947
Natrona County School District #1;Natrona County School District #1;0.331243;0.5643;945
Salinas City Elementary;Salinas City Elementary;-2.124757;-0.611;944
Crystal Lake CCSD;Crystal Lake CCSD;0.588243;1.2521;944
Troup County;Troup County;-0.235757;-0.879;943
Oldham County;Oldham County;0.761243;1.1356;942
Greenfield Union;Greenfield Union;-1.476757;-0.9153;940
Colonial School District;Colonial School District;-0.497757;-0.1739;940
Covina-Valley Unified;Covina-Valley Unified;-1.031757;0.3447;938
Medford 549C;Medford 549C;-0.405757;-0.3438;937
Madison Co. School District;Madison Co. School District;0.303243;1.0071;935
Flint City School District;Flint City School District;-2.190757;-3.3695;934
New Haven Unified;New Haven Unified;-0.699757;0.7617;933
York Co. Public Schools;York Co. Public Schools;1.285243;1.3695;932
Murfreesboro City Elem. School District;Murfreesboro City Elem. School District;-0.247757;-0.2422;931
Adelanto Elementary;Adelanto Elementary;-1.626757;-0.7098;930
Brazosport;Brazosport;-0.188757;0.2454;929
Vacaville Unified;Vacaville Unified;-0.794757;0.4785;927
Hawthorne;Hawthorne;-1.369757;-0.6666;926
Brandywine School District;Brandywine School District;0.135243;0.4221;926
Natomas Unified;Natomas Unified;-1.101757;0.4307;925
Wappingers Central School District;Wappingers Central School District;0.469243;1.1784;923
Iowa City Comm School District;Iowa City Comm School District;0.278243;0.8383;922
Rocklin Unified;Rocklin Unified;0.522243;1.2498;921
Cabell County Schools;Cabell County Schools;-0.461757;-0.7191;921
Forest Hills Public Schools;Forest Hills Public Schools;1.207243;1.6043;919
Flagstaff Unified District;Flagstaff Unified District;-0.869757;0.5047;917
Tippecanoe;Tippecanoe;0.506243;0.7575;916
Upper Darby;Upper Darby;-0.191757;-0.2186;913
San Benito CISD;San Benito CISD;-0.925757;-1.7883;913
Highlands;Highlands;0.003243;-0.5964;912
Troy School District;Troy School District;1.806243;1.5547;912
Council Rock;Council Rock;1.242243;1.7663;911
Newton;Newton;2.524243;1.9178;909
Parma City;Parma City;0.098243;0.2812;909
Berryessa Union Elementary;Berryessa Union Elementary;-0.205757;0.5649;908
Clarke County;Clarke County;-0.888757;-0.9005;908
Upland Unified;Upland Unified;-0.214757;0.28;905
Magnolia;Magnolia;0.109243;0.5163;905
Gresham-Barlow 10J;Gresham-Barlow 10J;-0.697757;0.0193;903
Tipton County School District;Tipton County School District;-0.620757;-0.711;903
Chapel Hill-Carrboro Schools;Chapel Hill-Carrboro Schools;2.327243;1.2512;898
Alexandria City;Alexandria City;0.068243;0.5427;898
Higley Unified School District;Higley Unified School District;0.256243;1.0209;897
Palo Alto Unified;Palo Alto Unified;1.965243;2.2319;897
M S D Warren Township;M S D Warren Township;0.079243;-0.7262;897
Magnolia Elementary;Magnolia Elementary;-1.179757;-0.3345;890
Lancaster;Lancaster;-0.622757;-1.044;890
Maury County School District;Maury County School District;-0.880757;-0.2369;889
Raleigh County Schools;Raleigh County Schools;-0.363757;-0.2501;889
Waukesha School District;Waukesha School District;0.088243;0.6953;889
New Albany-Floyd Co Con Sch;New Albany-Floyd Co Con Sch;0.184243;0.0123;888
Nashua School District;Nashua School District;0.785243;0.6946;888
Coppell;Coppell;1.399243;1.768;886
Clover Park School District;Clover Park School District;-0.832757;-0.6301;884
Fox C-6;Fox C-6;0.930243;0.3912;883
Pennsbury;Pennsbury;1.147243;1.2533;882
Ferguson-Florissant R-II;Ferguson-Florissant R-II;-0.963757;-1.4204;878
Rockingham Co. Public Schools;Rockingham Co. Public Schools;0.453243;0.5511;876
Greece Central School District;Greece Central School District;0.273243;0.2856;875
Casa Grande Elementary District;Casa Grande Elementary District;-1.062757;-0.5804;874
Fall River;Fall River;-0.345757;-1.5217;874
Hueneme Elementary;Hueneme Elementary;-2.241757;-0.3083;873
Robertson County School Dist.;Robertson County School Dist.;-0.789757;-0.0282;873
Blount County School District;Blount County School District;-0.781757;-0.0202;872
Pleasant Valley;Pleasant Valley;0.039243;1.1506;871
Harrison, School District No. 2, In The County Of El Paso An;Harrison, School District No. 2, In The County Of El Paso An;0.412243;-1.114;871
Tomball;Tomball;0.359243;1.1432;871
L'Anse Creuse Public Schools;L'Anse Creuse Public Schools;0.188243;-0.0923;870
Cherry Hill Township;Cherry Hill Township;1.772243;1.5027;868
Edgewood - San Antonio;Edgewood - San Antonio;-1.328757;-1.8857;867
San Lorenzo Unified;San Lorenzo Unified;-1.697757;-0.0632;865
St. Joseph;St. Joseph;-0.058757;-0.4899;864
Mason City;Mason City;2.169243;1.6957;864
Vail Unified District;Vail Unified District;1.025243;1.2448;862
Delano Union Elementary;Delano Union Elementary;-1.893757;-1.1652;862
Effingham County;Effingham County;0.248243;0.3426;861
Central Dauphin;Central Dauphin;0.582243;0.7169;861
Marysville School District;Marysville School District;-0.523757;0.3833;859
Carlsbad Unified;Carlsbad Unified;1.101243;1.0324;857
M S D Pike Township;M S D Pike Township;-0.341757;-0.2529;857
Clifton;Clifton;-0.262757;0.5831;857
Bonneville Joint District;Bonneville Joint District;0.270243;0.6225;856
Reynolds;Reynolds;-1.699757;-1.0023;856
Madison County;Madison County;0.275243;-0.1757;854
Palos Verdes Peninsula Unified;Palos Verdes Peninsula Unified;1.927243;2.123;853
Box Elder District;Box Elder District;-0.215757;0.6979;852
Gilroy Unified;Gilroy Unified;-0.959757;0.264;851
Liberty 53;Liberty 53;1.293243;1.2419;851
Clint;Clint;-0.900757;-1.145;851
Mountain View Elementary;Mountain View Elementary;-1.765757;-1.0604;850
Smithtown Central School District;Smithtown Central School District;1.374243;1.6588;850
York 04;York 04;1.065243;1.0447;846
Central Kitsap School District;Central Kitsap School District;0.091243;0.6374;844
East Central;East Central;-0.788757;-0.2999;843
New Caney;New Caney;-0.074757;-0.0905;841
Elmore County;Elmore County;-0.492757;0.0612;840
Lakeville Public School District;Lakeville Public School District;1.356243;1.4904;840
Newburgh City School District;Newburgh City School District;-0.946757;-0.1496;840
Coeur D Alene District;Coeur D Alene District;0.371243;-0.0568;838
Nassau;Nassau;1.017243;0.1488;835
M S D Washington Township;M S D Washington Township;0.249243;0.0555;834
Richland School District;Richland School District;0.532243;0.7981;834
Sanger Unified;Sanger Unified;-0.418757;-0.375;833
Georgetown;Georgetown;0.462243;0.8033;832
Appoquinimink School District;Appoquinimink School District;0.619243;1.2493;831
Fauquier Co. Public Schools;Fauquier Co. Public Schools;0.522243;1.1336;831
Monterey Peninsula Unified;Monterey Peninsula Unified;-1.543757;0.1152;830
Santa Monica-Malibu Unified;Santa Monica-Malibu Unified;0.895243;1.0606;830
Gallup-Mckinley Cty Schools;Gallup-Mckinley Cty Schools;-2.232757;-1.2428;830
Sullivan County School Distrct;Sullivan County School Distrct;-0.417757;-0.0342;830
Gloucester Township;Gloucester Township;0.266243;0.5673;829
Del Valle;Del Valle;-1.367757;-0.7776;829
Waterford School District;Waterford School District;-0.563757;-0.0966;827
Bismarck;Bismarck;0.317243;0.8525;826
Catoosa County;Catoosa County;-0.228757;0.1544;825
Putnam;Putnam;0.073243;-1.2104;824
Farmington Public School District;Farmington Public School District;0.667243;1.2075;822
Wayzata Public School District;Wayzata Public School District;2.362243;1.7277;821
Daviess County;Daviess County;0.905243;0.0968;819
Las Virgenes Unified;Las Virgenes Unified;1.073243;1.7475;818
Bloomington Public School District;Bloomington Public School District;0.892243;0.6081;818
Monroe County Com;Monroe County Com;0.477243;0.2197;816
Traverse City Area Public Schools;Traverse City Area Public Schools;-0.305757;0.1641;815
Port Huron Area School District;Port Huron Area School District;-0.965757;-1.0648;814
Norwalk School District;Norwalk School District;0.218243;0.6241;812
Bartholomew Con;Bartholomew Con;0.133243;0.3479;812
Farmington Municipal Schools;Farmington Municipal Schools;-0.932757;0.2523;810
Darlington;Darlington;-0.897757;-0.9794;810
Dry Creek Joint Elementary;Dry Creek Joint Elementary;0.192243;1.0768;808
Fairfield School District;Fairfield School District;1.732243;1.8647;808
Albany City School District;Albany City School District;-0.752757;-1.4451;804
Augusta Co. Public Schools;Augusta Co. Public Schools;0.269243;0.4847;804
Greater Clark County Schools;Greater Clark County Schools;0.037243;-0.4612;803
Lancaster;Lancaster;-1.117757;-1.6542;803
Putnam County School District;Putnam County School District;-0.305757;-0.2684;803
College Station;College Station;0.867243;1.0088;802
Porterville Unified;Porterville Unified;-1.409757;-2.0646;799
David Douglas;David Douglas;-1.271757;-1.2226;798
Campbell Union Elementary;Campbell Union Elementary;-0.127757;0.4832;797
Pickerington Local;Pickerington Local;1.083243;1.2211;797
Spalding County;Spalding County;-0.783757;-0.9338;796
Williamsburg-James City;Williamsburg-James City;0.840243;0.1838;796
West Covina Unified;West Covina Unified;-0.105757;0.6101;794
Mehlville R-IX;Mehlville R-IX;0.434243;0.9614;794
Half Hollow Hills Central School District;Half Hollow Hills Central School District;1.249243;1.8786;794
Pocono Mountain;Pocono Mountain;0.224243;-0.3992;794
Cranston;Cranston;0.369243;0.3588;794
Oconee;Oconee;-0.423757;-0.3425;794
Bellingham School District;Bellingham School District;0.248243;0.4012;794
Encinitas Union Elementary;Encinitas Union Elementary;0.947243;1.5356;793
Penn-Harris-Madison;Penn-Harris-Madison;1.071243;1.0455;793
Williamsville Central School District;Williamsville Central School District;1.279243;1.5412;793
Spartanburg 06;Spartanburg 06;-0.561757;-0.1145;793
Westminster, School District No. 50, In The County Of Adams;Westminster, School District No. 50, In The County Of Adams;-1.181757;-0.6821;792
Wilkes County Schools;Wilkes County Schools;0.232243;-0.5311;791
Pittsburg Unified;Pittsburg Unified;-1.733757;-0.3546;790
Springfield 19;Springfield 19;-0.216757;-0.5882;790
Kershaw;Kershaw;-0.447757;-0.3618;790
Jenks;Jenks;0.465243;1.2432;789
Cabot School District;Cabot School District;0.547243;0.292;788
Santa Barbara Elementary;Santa Barbara Elementary;-0.969757;0.057;788
Woodland CCSD;Woodland CCSD;0.469243;1.0611;788
Papillion-La Vista Public Schs.;Papillion-La Vista Public Schs.;0.259243;1.0802;788
Rio Grande City CISD;Rio Grande City CISD;-0.672757;-1.8377;788
East Orange;East Orange;-0.416757;-1.9936;787
Middletown Township;Middletown Township;0.950243;1.3538;787
New Rochelle City School District;New Rochelle City School District;0.961243;0.44;787
Hazleton Area;Hazleton Area;0.296243;-0.2883;787
Floyd County;Floyd County;-0.267757;-0.2762;786
Park Hill;Park Hill;0.911243;0.8756;786
Lucia Mar Unified;Lucia Mar Unified;-0.438757;0.4974;785
Fargo;Fargo;0.598243;0.7894;785
Burleson;Burleson;-0.088757;0.8163;785
San Felipe-Del Rio CISD;San Felipe-Del Rio CISD;-0.921757;-0.7533;785
Shenendehowa Central School District;Shenendehowa Central School District;0.812243;1.4177;783
Union City;Union City;0.154243;-1.2833;782
Azusa Unified;Azusa Unified;-1.878757;-0.0213;781
Rutherford County Schools;Rutherford County Schools;0.451243;-1.0489;781
Bedford Co. Public Schools;Bedford Co. Public Schools;-0.032757;0.5741;780
Dubuque Comm School District;Dubuque Comm School District;0.333243;0.3667;777
Lowndes County;Lowndes County;0.567243;0.0517;776
Middle Country Central School District;Middle Country Central School District;0.529243;1.1325;776
Hamblen County School District;Hamblen County School District;-0.779757;-0.6504;775
Avondale Elementary District;Avondale Elementary District;-1.638757;-0.1986;774
Huntington Beach City Elementary;Huntington Beach City Elementary;0.791243;1.2766;773
Idaho Falls District;Idaho Falls District;-0.395757;0.3215;773
Woodland Joint Unified;Woodland Joint Unified;-1.590757;0.0753;772
Sharyland;Sharyland;0.359243;0.4981;771
Bradley County School District;Bradley County School District;-0.290757;-0.2585;770
Danbury School District;Danbury School District;0.134243;0.6004;768
Lee County;Lee County;-0.883757;-0.1749;766
Warrick County;Warrick County;0.839243;0.9065;766
Autauga County;Autauga County;-0.086757;0.3556;764
San Jacinto Unified;San Jacinto Unified;-1.852757;-0.6692;764
Sulphur Springs Union Elementary;Sulphur Springs Union Elementary;-0.602757;0.4683;764
Lake Central;Lake Central;0.900243;1.1428;764
Harrison County Schools;Harrison County Schools;-0.298757;-0.4634;764
Monongalia County Schools;Monongalia County Schools;-0.185757;0.8096;763
Tuscaloosa City;Tuscaloosa City;-1.262757;-0.727;762
Isaac Elementary District;Isaac Elementary District;-2.209757;-1.6643;762
West Hartford School District;West Hartford School District;1.482243;1.412;761
Los Fresnos CISD;Los Fresnos CISD;-0.024757;-0.7582;761
Marysville Joint Unified;Marysville Joint Unified;-1.226757;-1.1825;759
Milpitas Unified;Milpitas Unified;-0.101757;0.9248;758
Liberty County;Liberty County;-0.401757;-0.4821;756
South San Antonio;South San Antonio;-1.368757;-1.3917;756
Great Falls Elem.;Great Falls Elem.;0.810243;-0.0556;755
Roswell Independent Schools;Roswell Independent Schools;-0.666757;-0.8273;755
